Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
Lenny,Copenhagen Wolves,EU,25,2.2,5.6,281.3,75.4,"Shen, Lulu, Rumble",Top,208
Shook,Copenhagen Wolves,EU,20,2,2.9,264.7,79.3,"Elise, Lee Sin, Rek'Sai",Jungle,227
Soren,Copenhagen Wolves,EU,22.2,1.6,8.5,342.6,50.5,"Azir, Viktor, Jayce",Mid,492.5
Freeze,Copenhagen Wolves,EU,22.2,4.2,8.6,372,65,"Caitlyn, Sivir, Kalista",ADC,455.4
Unlimited,Copenhagen Wolves,EU,20,1.4,0.5,200.9,60.4,"Alistar, Morgana, Bard",Support,94
,,,,,,,,,,
Marin,SKTelecom T1,Korea,94.4,4.9,8.4,396.8,61.4,"Gnar, Rumble, Maokai",Top,514.2
Ssumday,KT Rolster,Korea,72.2,5.2,7.9,363.9,66.8,"Renekton, Shen, Maokai",Top,357.7
Shy,CJ ENTUS,Korea,68.8,4,7.6,356.9,61.7,"Fizz, Shen, Rumble",Top,403.2
Duke,Najin e-mFire,Korea,61.1,4.4,7.4,345.7,65.6,"Maokai, Rumble, Ryze",Top,356.9
Smeb,KOO Tigers,Korea,61.1,4.4,7.1,346.6,70.7,"Maokai, Rumble, Gnar",Top,436.5
TrAce,Jin Air Green Wings,Korea,55.6,4.2,6.7,320.2,66.6,"Gnar, Ryze, Rumble",Top,358.3
CuVee,Samsung Galaxy,Korea,33.3,2.3,7.3,334.3,65,"Maokai, Rumble, Gnar",Top,361.8
ikssu,Rebels Anarchy,Korea,29.4,2.1,6.7,320.1,63.6,"Gnar, Maokai, Rumble",Top,344.3
Apple,Longzhu Incredible Miracle,Korea,16.7,2.3,6.4,312.9,62.5,"Shen, Maokai, Rumble",Top,377.5
Soul,SBENU SONICBOOM,Korea,5.6,1.7,6.7,303.8,62.9,"Maokai, Rumble, Gnar",Top,397.5
Faker,SKTelecom T1,Korea,93.3,5.3,8.9,419.1,69.1,"Viktor, Ryze, Azir",Mid,656.1
Nagne,KT Rolster,Korea,73.3,5.1,9.1,394.8,70,"Viktor, Azir, Lulu",Mid,560.6
CoCo,CJ ENTUS,Korea,66.7,4.3,8.9,395.8,70.6,"Azir, Ezreal, Viktor",Mid,684.2
Ggoong,Najin e-mFire,Korea,61.1,4.4,8.7,384.4,71.8,"Viktor, Cassiopeia, Azir",Mid,534.9
KurO,KOO Tigers,Korea,61.1,6,8.6,390,73.4,"Viktor, Azir, Kassadin",Mid,569.2
GBM,Jin Air Green Wings,Korea,52.9,5.8,8.7,377.3,71,"Viktor, Cassiopeia, Twisted Fate",Mid,484.1
Crown,Samsung Galaxy,Korea,33.3,2.6,9.2,380.4,62.1,"Azir, Viktor, Twisted Fate",Mid,488.3
Mickey,Rebels Anarchy,Korea,27.8,2.2,8.7,375.5,71.9,"Ahri, Viktor, Twisted Fate",Mid,568.9
Frozen,Longzhu Incredible Miracle,Korea,22.2,2.7,8.6,366.7,70.1,"Viktor, Ezreal, Ekko",Mid,543.1
SaSin,SBENU SONICBOOM,Korea,5.6,1.9,8.5,350.2,68,"Viktor, Lulu, Azir",Mid,505.5
Wolf,SKTelecom T1,Korea,94.4,7.3,0.9,243.3,70.1,"Thresh, Alistar, Janna",Support,102.2
MadLife,CJ ENTUS,Korea,66.7,4.4,0.8,224.5,73.5,"Thresh, Braum, Alistar",Support,145
Gorilla,KOO Tigers,Korea,61.1,3.7,0.8,232.3,76.1,"Annie, Alistar, Braum",Support,156.5
Pure,Najin e-mFire,Korea,61.1,3.3,0.9,219.5,68,"Alistar, Thresh, Nautilus",Support,123.6
Chei,Jin Air Green Wings,Korea,45.5,3.7,0.7,207.1,69.5,"Nautilus, Thresh, Annie",Support,110
SnowFlower,Rebels Anarchy,Korea,27.8,1.92,0.9,211,67,"Thresh, Alistar, Braum",Support,146.6
Ignar,Longzhu Incredible Miracle,Korea,22.2,3.5,0.7,204.4,73.8,"Janna, Braum, Alistar",Support,120.5
Secret,SBENU SONICBOOM,Korea,6.3,3.6,0.9,201.8,67.5,"Alistar, Braum, Annie",Support,124.3
Piccaboo,KT Rolster,Korea,72.1,4.4,0.8,224.1,72.1,"Janna, Thresh, Alistar",Support,112.7
Wraith,Samsung Galaxy,Korea,50,4.9,0.8,214,74.5,"Nautilus, Alistar, Janna",Support,105.5
Bang,SKTelecom T1,Korea,94.4,5.8,8.4,397.2,61.6,"Kog'maw, Vayne, Corki",ADC,580
Arrow,KT Rolster,Korea,72.2,7.1,8.2,378.2,71.7,"Corki, Sivir, Kog'maw",ADC,550.4
Space,CJ ENTUS,Korea,66.7,3.7,8.1,376.7,65,"Sivir, Corki, Vayne",ADC,586.3
Pray,KOO Tigers,Korea,61.1,4.5,8.5,385.9,71.7,"Corki, Sivir, Lucian",ADC,571.1
Ohq,Najin e-mFire,Korea,61.1,5.7,8.8,398.3,66.5,"Sivir, Lucian, Vayne",ADC,540.7
